Name,isTF
ZNF445,Yes
ZNF446,Yes
ZNF449,Yes
ZNF45,Yes
ZNF451,Yes
ZNF454,Yes
ZNF460,Yes
ZNF461,Yes
ZNF462,Yes
ZNF467,Yes
ZNF468,Yes
ZNF469,Yes
ZNF470,Yes
ZNF471,Yes
ZNF473,Yes
ZNF474,Yes
ZNF479,Yes
ZNF48,Yes
ZNF480,Yes
ZNF483,Yes
ZNF484,Yes
ZNF485,Yes
ZNF486,Yes
ZNF487,Yes
ZNF488,Yes
ZNF490,Yes
ZNF491,Yes
ZNF492,Yes
ZNF493,Yes
ZNF496,Yes
ZNF497,Yes
ZNF500,Yes
ZNF501,Yes
ZNF502,Yes
ZNF503,Yes
ZNF506,Yes
ZNF507,Yes
ZNF510,Yes
ZNF511,Yes
ZNF512B,Yes
ZNF513,Yes
ZNF514,Yes
ZNF516,Yes
ZNF517,Yes
ZNF518A,Yes
ZNF518B,Yes
ZNF519,Yes
ZNF521,Yes
ZNF525,Yes
ZNF526,Yes
ZNF527,Yes
ZNF528,Yes
ZNF529,Yes
ZNF530,Yes
ZNF532,Yes
ZNF534,Yes
ZNF536,Yes
ZNF540,Yes
ZNF542P,No
ZNF543,Yes
ZNF544,Yes
ZNF546,Yes
ZNF547,Yes
ZNF548,Yes
ZNF549,Yes
ZNF550,Yes
ZNF551,Yes
ZNF552,Yes
ZNF554,Yes
ZNF555,Yes
ZNF556,Yes
ZNF557,Yes
ZNF558,Yes
ZNF559,Yes
ZNF560,Yes
ZNF561,Yes
ZNF562,Yes
ZNF563,Yes
ZNF564,Yes
ZNF565,Yes
ZNF566,Yes
ZNF567,Yes
ZNF568,Yes
ZNF569,Yes
ZNF57,Yes
ZNF570,Yes
ZNF571,Yes
ZNF572,Yes
ZNF573,Yes
ZNF574,Yes
ZNF575,Yes
ZNF576,Yes
ZNF577,Yes
ZNF578,Yes
ZNF579,Yes
ZNF580,Yes
ZNF581,Yes
ZNF582,Yes
ZNF583,Yes
ZNF584,Yes
ZNF585A,Yes
ZNF585B,Yes
ZNF586,Yes
ZNF587,Yes
ZNF587B,Yes
ZNF589,Yes
ZNF592,Yes
ZNF593,No
ZNF594,Yes
ZNF595,Yes
ZNF596,Yes
ZNF597,Yes
ZNF598,Yes
ZNF599,Yes
ZNF600,Yes
ZNF605,Yes
ZNF606,Yes
ZNF607,Yes
ZNF608,Yes
ZNF609,Yes
ZNF610,Yes
ZNF611,Yes
ZNF613,Yes
ZNF614,Yes
ZNF615,Yes
ZNF616,Yes
ZNF618,Yes
ZNF619,Yes
ZNF620,Yes
ZNF621,Yes
ZNF622,No
ZNF623,Yes
ZNF624,Yes
ZNF625,Yes
ZNF626,Yes
ZNF627,Yes
ZNF628,Yes
ZNF629,Yes
ZNF630,Yes
ZNF639,Yes
ZNF641,Yes
ZNF644,Yes
ZNF645,Yes
ZNF646,Yes
ZNF648,Yes
ZNF649,Yes
ZNF652,Yes
ZNF654,Yes
ZNF655,Yes
ZNF658,Yes
ZNF66,Yes
ZNF660,Yes
ZNF662,Yes
ZNF664,Yes
ZNF665,Yes
ZNF667,Yes
ZNF668,Yes
ZNF669,Yes
ZNF670,Yes
ZNF671,Yes
ZNF672,Yes
ZNF674,Yes
ZNF675,Yes
ZNF676,Yes
ZNF677,Yes
ZNF678,Yes
ZNF679,Yes
ZNF680,Yes
ZNF681,Yes
ZNF682,Yes
ZNF683,Yes
ZNF684,Yes
ZNF687,Yes
ZNF688,Yes
ZNF689,Yes
ZNF69,Yes
ZNF691,Yes
ZNF692,Yes
ZNF695,Yes
ZNF696,Yes
ZNF697,Yes
ZNF699,Yes
ZNF7,Yes
ZNF70,Yes
ZNF700,Yes
ZNF701,Yes
ZNF703,Yes
ZNF704,Yes
ZNF705A,Yes
ZNF705B,Yes
ZNF705D,Yes
ZNF705E,Yes
ZNF705G,Yes
ZNF706,Yes
ZNF707,Yes
ZNF708,Yes
ZNF709,Yes
ZNF71,Yes
ZNF710,Yes
ZNF711,Yes
ZNF713,Yes
ZNF714,Yes
ZNF716,Yes
ZNF717,Yes
ZNF718,Yes
ZNF721,Yes
ZNF724,Yes
ZNF726,Yes
ZNF727,Yes
ZNF728,Yes
ZNF729,Yes
ZNF73,No
ZNF730,Yes
ZNF732,Yes
ZNF735,Yes
ZNF736,Yes
ZNF737,Yes
ZNF74,Yes
ZNF740,Yes
ZNF746,Yes
ZNF747,Yes
ZNF749,Yes
ZNF750,Yes
ZNF75A,Yes
ZNF75D,Yes
ZNF76,Yes
ZNF761,Yes
ZNF763,Yes
ZNF764,Yes
ZNF765,Yes
ZNF766,Yes
ZNF768,Yes
ZNF77,Yes
ZNF770,Yes
ZNF771,Yes
ZNF772,Yes
ZNF773,Yes
ZNF774,Yes
ZNF775,Yes
ZNF776,Yes
ZNF777,Yes
ZNF778,Yes
ZNF780A,Yes
ZNF780B,Yes
ZNF781,Yes
ZNF782,Yes
ZNF783,Yes
ZNF784,Yes
ZNF785,Yes
ZNF786,Yes
ZNF787,Yes
ZNF788,Yes
ZNF789,Yes
ZNF79,Yes
ZNF790,Yes
ZNF791,Yes
ZNF792,Yes
ZNF793,Yes
ZNF799,Yes
ZNF8,Yes
ZNF80,Yes
ZNF800,Yes
ZNF804A,Yes
ZNF804B,Yes
ZNF805,Yes
ZNF808,Yes
ZNF81,Yes
ZNF812P,No
ZNF813,Yes
ZNF814,Yes
ZNF816,Yes
ZNF821,Yes
ZNF823,Yes
ZNF827,Yes
ZNF829,Yes
ZNF83,Yes
ZNF830,Yes
ZNF831,Yes
ZNF835,Yes
ZNF836,Yes
ZNF837,Yes
ZNF839,No
ZNF84,Yes
ZNF841,Yes
ZNF843,Yes
ZNF844,Yes
ZNF845,Yes
ZNF846,Yes
